Date,Open,High,Low,Close,Volume
02/12/2015,"31.52","31.87","31.39","31.62","297,897,876"
02/11/2015,"30.69","31.23","30.63","31.22","294,247,188"
02/10/2015,"30.04","30.54","30.04","30.51","248,034,048"
02/09/2015,"29.64","29.96","29.61","29.93","155,559,204"
02/06/2015,"30.01","30.06","29.61","29.73","174,826,264"
02/05/2015,"30.01","30.06","29.81","29.99","168,984,984"
02/04/2015,"29.63","30.13","29.58","29.89","280,598,968"
02/03/2015,"29.63","29.77","29.40","29.66","207,663,016"
02/02/2015,"29.51","29.79","29.02","29.66","250,956,408"
01/30/2015,"29.60","30.00","29.21","29.29","334,981,812"
01/29/2015,"29.08","29.80","28.89","29.73","337,745,720"
01/28/2015,"29.41","29.53","28.83","28.83","585,908,436"
01/27/2015,"28.11","28.12","27.26","27.29","382,275,000"
01/26/2015,"28.44","28.59","28.20","28.28","222,459,920"
01/23/2015,"28.08","28.44","27.88","28.25","185,859,328"
01/22/2015,"27.57","28.12","27.43","28.10","215,185,624"
01/21/2015,"27.24","27.77","27.07","27.39","194,303,592"
01/20/2015,"26.96","27.24","26.63","27.18","199,599,640"
01/16/2015,"26.76","26.90","26.30","26.50","314,053,408"
01/15/2015,"27.50","27.52","26.67","26.71","240,056,000"
01/14/2015,"27.26","27.62","27.13","27.45","195,826,376"
01/13/2015,"27.86","28.20","27.23","27.56","268,367,720"
01/12/2015,"28.15","28.16","27.20","27.31","198,603,172"
01/09/2015,"28.17","28.31","27.55","28.00","214,798,108"
01/08/2015,"27.31","28.04","27.18","27.97","237,458,204"
01/07/2015,"26.80","27.05","26.67","26.94","160,423,720"
01/06/2015,"26.64","26.86","26.16","26.57","263,188,468"
01/05/2015,"27.07","27.16","26.35","26.56","257,141,952"
01/02/2015,"27.85","27.86","26.84","27.33","212,818,532"
12/31/2014,"28.21","28.28","27.55","27.60","165,613,408"
12/30/2014,"28.41","28.48","28.03","28.13","119,525,920"
12/29/2014,"28.45","28.69","28.43","28.48","110,395,680"
12/26/2014,"28.03","28.63","28.00","28.50","134,883,812"
12/24/2014,"28.15","28.18","28.00","28.00","57,918,440"
12/23/2014,"28.31","28.33","28.12","28.14","104,113,680"
12/22/2014,"28.04","28.37","27.99","28.24","180,670,204"
12/19/2014,"28.07","28.31","27.92","27.95","353,719,064"
12/18/2014,"27.97","28.16","27.67","28.16","236,024,876"
12/17/2014,"26.78","27.46","26.71","27.35","213,647,080"
12/16/2014,"26.59","27.54","26.57","26.69","243,162,908"
12/15/2014,"27.68","27.90","26.59","27.06","268,872,312"
12/12/2014,"27.62","27.97","27.40","27.43","224,112,564"
12/11/2014,"28.07","28.45","27.84","27.91","165,886,312"
12/10/2014,"28.60","28.71","27.89","27.99","178,261,280"
12/09/2014,"27.55","28.58","27.34","28.53","240,832,156"
12/08/2014,"28.53","28.66","27.91","28.10","230,659,392"
12/05/2014,"29.00","29.02","28.66","28.75","153,275,592"
12/04/2014,"28.94","29.30","28.82","28.87","168,623,124"
12/03/2014,"28.94","29.09","28.78","28.98","172,253,764"
12/02/2014,"28.38","28.94","28.19","28.66","237,395,764"
12/01/2014,"29.70","29.81","27.82","28.77","335,256,156"
11/28/2014,"29.82","29.85","29.51","29.73","99,257,600"
11/26/2014,"29.49","29.78","29.46","29.75","163,327,548"
11/25/2014,"29.77","29.94","29.36","29.40","275,361,752"
11/24/2014,"29.21","29.69","29.16","29.66","189,803,280"
11/21/2014,"29.38","29.39","29.01","29.12","228,717,204"
11/20/2014,"28.73","29.22","28.71","29.08","173,582,156"
11/19/2014,"28.86","28.94","28.45","28.67","167,476,640"
11/18/2014,"28.49","28.92","28.47","28.87","176,895,920"
